A,B,C,D,E
0.38368,0.33492,0.58574,0.16667,0.18158
0.41154,0.37039,0.3263,0.27154,0.30908
0.3236,0.28351,0.17156,0.12372,0.39044
0.30191,0.031049,0.2408,0.30852,0.21748
0.26186,0.31151,0.28258,0.40857,0.39248
0.26131,0.32508,0.28899,0.36868,0.31539
0.30719,0.14767,0.3392,0.35304,0.25727
0.10767,0.22359,0.15521,0.23,0.26133
0.2585,0.11336,0.33203,0.33958,0.26712
0.30278,0.1901,0.23558,0.33992,0.38862
0.38429,0.1831,0.20961,0.2549,0.33154
0.25884,0.28297,0.29927,0.21604,0.32933
0.28095,0.32745,0.31683,0.10276,0.27381
0.39364,0.34404,0.27844,0.29281,0.2532
0.21871,0.30137,0.30557,0.24341,0.38418
0.35155,0.36207,0.39017,0.33749,0.27166
0.3279,0.28253,0.31431,0.37455,0.47039
0.28408,0.065653,0.36201,0.37366,0.3639
0.29723,0.49543,0.28154,0.30412,0.40202
0.18977,0.46249,0.22143,0.25447,0.25581
0.36627,0.41071,0.26436,0.28874,0.29893
0.39627,0.32033,0.15434,0.23824,0.24407
0.25458,0.33919,0.34201,0.35062,0.22447
0.43477,0.25376,0.42964,0.35227,0.38917
0.23977,0.11209,0.36769,0.28652,0.26077
0.26497,0.32592,0.38254,0.32596,0.45917
0.19177,0.3856,0.33484,0.17403,0.27596
0.32263,0.16167,0.25466,0.17504,0.26866
0.24151,0.33589,0.40023,0.1678,0.31157
0.30416,0.27238,0.28295,0.18737,0.3282
0.31792,0.051401,0.31512,0.4716,0.40456
0.23408,0.26824,0.38977,0.2525,0.30823
0.41697,0.31831,0.35412,0.39687,0.31396
0.22681,0.19811,0.25762,0.3108,0.21476
0.40318,0.39306,0.27506,0.38312,0.23307
0.28315,0.26367,0.48341,0.28326,0.40062
0.23409,0.25471,0.3611,0.32732,0.12338
0.40872,0.16506,0.29904,0.20692,0.37995
0.29206,0.30326,0.30239,0.17892,0.40071
0.34625,0.37799,0.29729,0.31785,0.23252
0.28177,0.33307,0.17134,0.2172,0.32672
0.37203,0.2176,0.25472,0.30258,0.29321
0.31095,0.53448,0.35032,0.1905,0.43021
0.31428,0.44171,0.38766,0.32425,0.27483
0.35045,0.42107,0.33563,0.31775,0.44905
0.4144,0.19167,0.24232,0.34275,0.31782
0.4562,0.35649,0.3403,0.31781,0.31363
0.4448,0.35629,0.23206,0.29159,0.25548
0.45761,0.32341,0.2257,0.2474,0.28935
0.36048,0.17958,0.24105,0.22701,0.36119
0.24358,0.34927,0.45076,0.24489,0.17987
0.44218,0.37538,0.3767,0.21995,0.20843
0.25446,0.1425,0.37771,0.31847,0.30662
0.23686,0.14035,0.35981,0.34893,0.34256
0.29472,0.35088,0.23188,0.19983,0.24822
0.24593,0.35016,0.41029,0.30598,0.23703
0.28267,0.20111,0.2815,0.3212,0.36163
0.2535,0.28071,0.21267,0.19236,0.30903
0.4374,0.19387,0.34561,0.27597,0.10858
0.24598,0.33459,0.34592,0.43079,0.43266
0.26593,0.19094,0.32737,0.35686,0.194
0.31951,0.29139,0.35008,0.19519,0.45642
0.36778,0.24367,0.2374,0.2954,0.28605
0.22214,0.28689,0.23891,0.377,0.28429
0.21168,0.31729,0.27853,0.092771,0.21389
0.54267,0.33621,0.20332,0.35262,0.29723
0.26929,0.35951,0.41561,0.44164,0.35244
0.29103,0.22244,0.3702,0.40122,0.36644
0.43035,0.2509,0.40493,0.39162,0.16027
0.3527,0.37197,0.30742,0.29765,0.27432
0.14405,0.30318,0.28487,0.38881,0.26118
0.38379,0.27205,0.27352,0.39962,0.2485
0.17849,0.18115,0.36441,0.32253,0.38771
0.30329,0.3157,0.15674,0.19957,0.51783
0.31656,0.24481,0.38252,0.34314,0.32074
0.35452,0.34391,0.29135,0.44253,0.4186
0.37693,0.30109,0.28708,0.30069,0.44027
0.33468,0.297,0.46925,0.35975,0.22528
0.38511,0.42253,0.28324,0.36959,0.1899
0.20707,0.13111,0.35701,0.25452,0.179
0.26418,0.13337,0.28209,0.36444,0.32945
0.38012,0.31506,0.23087,0.30788,0.28178
0.33245,0.41801,0.30458,0.2998,0.48748
0.51173,0.25177,0.32297,0.17197,0.19628
0.18853,0.35723,0.3799,0.20455,0.27218
0.31722,0.38736,0.15014,0.32869,0.22828
0.31215,0.28599,0.2615,0.42608,0.33911
0.22262,0.23071,0.22459,0.28609,0.26918
0.27134,0.39172,0.31165,0.15752,0.32689
0.187,0.37196,0.29145,0.4361,0.36802
0.36982,0.40338,0.42143,0.32783,0.34865
0.32482,0.34952,0.19853,0.42011,0.34552
0.23816,0.41362,0.23344,0.26178,0.32711
0.26652,0.32033,0.37854,0.21354,0.26778
0.25263,0.37962,0.25751,0.41218,0.36096
0.20778,0.2528,0.26365,0.41735,0.39286
0.36637,0.28678,0.31417,0.34535,0.21714
0.3954,0.40499,0.24201,0.28793,0.25278
0.2384,0.32469,0.172,0.30371,0.24048
0.39014,0.1922,0.39955,0.21814,0.096053
0.41808,0.24968,0.30543,0.25206,0.35875
0.37424,0.30885,0.33819,0.23923,0.3303
0.35987,0.32981,0.2529,0.32265,0.1655
0.22666,0.22192,0.46076,0.50962,0.18246
0.32104,0.24449,0.29891,0.17548,0.17674
0.22624,0.27846,0.29827,0.21946,0.27988
0.32421,0.38862,0.26594,0.30732,0.17847
0.37102,0.44976,0.27529,0.45168,0.17967
0.37811,0.40133,0.43835,0.29743,0.36922
0.29041,0.29586,0.31028,0.26479,0.36684
0.44547,0.33155,0.30842,0.32881,0.22215
0.29795,0.34657,0.15126,0.21229,0.52729
0.39524,0.35966,0.35305,0.15915,0.27175
0.3053,0.35253,0.36073,0.26923,0.3861
0.26562,0.15791,0.20097,0.38645,0.23118
0.1881,0.19462,0.42983,0.307,0.26846
0.17481,0.14128,0.28083,0.37192,0.16937
0.43972,0.2427,0.3817,0.34984,0.29307
0.23587,0.28778,0.26471,0.29429,0.15143
0.28097,0.27015,0.19379,0.33975,0.19824
0.4082,0.24746,0.38345,0.32056,0.40711
0.18837,0.41198,0.42276,0.2048,0.2769
0.089934,0.34781,0.29246,0.37706,0.39053
0.26105,0.30703,0.30371,0.38716,0.36976
0.21622,0.38474,0.30295,0.21155,0.27185
0.31999,0.28339,0.34884,0.3093,0.36355
0.29912,0.219,0.17783,0.27193,0.28538
0.30307,0.096536,0.18494,0.23073,0.41536
0.19356,0.18125,0.3868,0.25169,0.28661
0.38348,0.36702,0.125,0.41438,0.29959
0.23488,0.47604,0.24386,0.40714,0.2872
0.29087,0.38252,0.37687,0.24166,0.35468
0.38214,0.24133,0.34765,0.22974,0.41458
0.44409,0.28663,0.38193,0.31779,0.35535
0.14711,0.14676,0.29765,0.31346,0.12232
0.2302,0.28168,0.33005,0.2921,0.21924
0.24613,0.37741,0.22308,0.31209,0.43925
0.45555,0.32939,0.37041,0.28991,0.32309
0.32257,0.31643,0.28414,0.41994,0.39805
0.2816,0.36869,0.33875,0.15084,0.35296
0.35593,0.30502,0.50585,0.30743,0.14758
0.40926,0.34001,0.24081,0.39136,0.39963
0.30547,0.16341,0.22333,0.20004,0.21681
0.41283,0.28992,0.39625,0.37081,0.33487
0.24875,0.22272,0.35484,0.25777,0.27367
0.29581,0.26338,0.33529,0.34985,0.3045
0.43263,0.26029,0.3582,0.30326,0.19092
0.28903,0.22001,0.28553,0.23021,0.22248
0.22166,0.38757,0.23866,0.29446,0.26277
0.25926,0.31349,0.50103,0.29378,0.43117
0.32475,0.3085,0.32571,0.34692,0.31463
0.40369,0.28489,0.23463,0.46287,0.24275
0.32316,0.2203,0.24545,0.21596,0.36629
0.27531,0.18251,0.29977,0.34394,0.31852
0.16816,0.20364,0.4127,0.42781,0.30912
0.23944,0.35898,0.21015,0.2025,0.25977
0.37289,0.3194,0.32939,0.37093,0.17945
0.34055,0.2689,0.15041,0.3648,0.37476
0.23207,0.20263,0.14298,0.28415,0.28344
0.39356,0.21628,0.26974,0.38108,0.36688
0.20873,0.14714,0.214,0.39053,0.24303
0.38414,0.41596,0.26727,0.39413,0.25926
0.42655,0.49784,0.28254,0.26527,0.41213
0.31943,0.28664,0.36245,0.21885,0.36945
0.23223,0.28455,0.29044,0.48303,0.29453
0.27047,0.29999,0.41728,0.32676,0.25895
0.31905,0.37405,0.30177,0.45202,0.47045
0.38926,0.52705,0.23226,0.21194,0.23014
0.26658,0.17684,0.23471,0.26256,0.33668
0.31608,0.43181,0.38113,0.27013,0.242
0.28163,0.26154,0.27364,0.35362,0.33722
0.3641,0.30467,0.45922,0.38555,0.33151
0.37717,0.2923,0.33847,0.41195,0.29751
0.33205,0.40522,0.35867,0.44703,0.30989
0.28829,0.35069,0.20221,0.29101,0.40535
0.43196,0.34232,0.13924,0.24341,0.21999
0.24969,0.35972,0.26038,0.30027,0.26654
0.39767,0.14429,0.19864,0.24926,0.26866
0.20913,0.10776,0.22768,0.42245,0.45395
0.3439,0.29971,0.21994,0.29294,0.24326
0.32299,0.41341,0.25904,0.39818,0.34753
0.27799,0.35366,0.41075,0.3168,0.2465
0.28171,0.23801,0.23116,0.36062,0.17766
0.23161,0.29766,0.27764,0.37756,0.34232
0.30188,0.41518,0.11293,0.20493,0.29629
0.30699,0.29325,0.30306,0.26388,0.31478
0.20095,0.2395,0.30419,0.44097,0.41738
0.20575,0.4426,0.23565,0.35683,0.36746
0.27318,0.4114,0.39068,0.32191,0.3935
0.35955,0.33545,0.27145,0.26229,0.34185
0.30085,0.34804,0.32389,0.35091,0.081442
0.37951,0.27366,0.31433,0.31679,0.18555
0.32954,0.30484,0.27782,0.20843,0.3722
0.272,0.33614,0.34709,0.20767,0.32661
0.24884,0.23031,0.45583,0.16473,0.45417
0.46054,0.21774,0.32604,0.39403,0.30232
0.28937,0.33851,0.24965,0.28005,0.1684
0.26898,0.32168,0.33504,0.15652,0.24565
0.4458,0.33927,0.2318,0.2533,0.15205
0.4044,0.27406,0.34217,0.31757,0.39107
0.12247,0.30405,0.32429,0.44464,0.34118
0.35156,0.21802,0.31353,0.20506,0.30719
0.21437,0.34381,0.36815,0.36995,0.2633
0.23189,0.31127,0.2522,0.45075,0.3997
0.46051,0.24104,0.38156,0.28664,0.34996
0.27154,0.28242,0.41713,0.36221,0.31922
0.26206,0.41771,0.2541,0.29196,0.27673
0.33286,0.28681,0.37521,0.41607,0.44126
0.32358,0.42707,0.15404,0.36474,0.33745
0.19178,0.26383,0.28404,0.24483,0.34635
0.34397,0.45137,0.29065,0.19181,0.28328
0.37849,0.31117,0.25963,0.14635,0.34991
0.57782,0.3472,0.28612,0.2617,0.43884
0.309,0.33682,0.36706,0.43048,0.3339
0.25227,0.30204,0.36804,0.2862,0.25927
0.19554,0.25233,0.34518,0.21198,0.30538
0.37811,0.22488,0.27113,0.3116,0.28432
0.25653,0.13116,0.22605,0.24038,0.27463
0.27457,0.20835,0.33961,0.32375,0.25873
0.18647,0.35299,0.24216,0.26779,0.28527
0.25271,0.31974,0.19713,0.42134,0.22462
0.39719,0.36622,0.37557,0.32916,0.35304
0.34389,0.36065,0.27941,0.29077,0.25335
0.36627,0.4017,0.35686,0.41231,0.25848
0.29694,0.24828,0.29373,0.29794,0.35877
0.22738,0.21875,0.26279,0.34877,0.22531
0.25727,0.25864,0.47904,0.32103,0.44855
0.27165,0.24943,0.23837,0.13253,0.30879
0.18628,0.26145,0.39016,0.34789,0.33729
0.12573,0.38329,0.43794,0.3007,0.34448
0.28166,0.54369,0.34241,0.24905,0.20901
0.32035,0.28605,0.23226,0.239,0.16283
0.27512,0.24716,0.35624,0.40464,0.26032
0.38751,0.26467,0.29274,0.22979,0.24976
0.2053,0.26545,0.28903,0.23103,0.33611
0.25445,0.22468,0.11092,0.26863,0.22665
0.24566,0.33821,0.21885,0.10917,0.32395
0.11553,0.29962,0.16026,0.14813,0.27613
0.30392,0.31488,0.28629,0.33871,0.27037
0.27848,0.19442,0.19215,0.31469,0.2992
0.36771,0.2007,0.19885,0.23644,0.37261
0.26866,0.35614,0.33847,0.23136,0.33799
0.26654,0.29467,0.27935,0.33154,0.15446
0.48226,0.24666,0.2647,0.42776,0.13456
0.27816,0.38503,0.30307,0.42149,0.33713
0.32958,0.42124,0.38489,0.12331,0.29901
0.33413,0.30659,0.23148,0.34008,0.24482
0.20285,0.17397,0.25272,0.3071,0.26682
0.32322,0.1995,0.38496,0.20867,0.25371
0.31946,0.28733,0.20396,0.16305,0.25482
0.28193,0.2765,0.37334,0.42678,0.24089
0.41094,0.22151,0.16627,0.28215,0.26324
0.36638,0.16312,0.38044,0.36244,0.28736
0.31506,0.20933,0.21992,0.31727,0.25548
0.28555,0.45367,0.29553,0.40165,0.2178
0.15705,0.34042,0.38493,0.4072,0.2732
0.25192,0.29477,0.10018,0.24711,0.45065
0.2974,0.41973,0.29708,0.17884,0.18065
0.258,0.25176,0.21022,0.37179,0.28273
0.34817,0.33543,0.34623,0.36561,0.33957
0.28024,0.25704,0.46675,0.42612,0.35612
0.18184,0.223,0.22073,0.44295,0.19995
0.26091,0.40796,0.27348,0.25313,0.11401
0.29068,0.35143,0.31062,0.26474,0.26451
0.28969,0.28082,0.4393,0.15905,0.37948
0.35792,0.1558,0.31993,0.4141,0.31853
0.48423,0.21808,0.34755,0.22728,0.3208
0.37137,0.28942,0.28875,0.22184,0.33993
0.30242,0.26377,0.32841,0.29814,0.24311
0.28419,0.23548,0.23931,0.22933,0.28912
0.40279,0.2643,0.30992,0.44005,0.14103
0.38147,0.204,0.17878,0.34129,0.39783
0.62792,0.75292,0.64165,0.55502,0.55119
0.66768,0.57905,0.74666,0.90343,0.63419
0.63298,0.69215,0.61765,0.64575,0.62954
0.59165,0.72155,0.65901,0.52223,0.69597
0.69183,0.68906,0.69984,0.67797,0.80348
0.70727,0.72296,0.64558,0.59937,0.58496
0.71821,0.61378,0.6427,0.67037,0.84859
0.5972,0.79454,0.76303,0.55537,0.72154
0.60542,0.73302,0.76985,0.48765,0.56817
0.65896,0.7315,0.75954,0.66952,0.65021
0.74067,0.73454,0.58628,0.5044,0.66605
0.58973,0.72097,0.48527,0.71826,0.62678
0.59054,0.69435,0.69375,0.60343,0.61184
0.6242,0.78149,0.51402,0.7169,0.54297
0.66894,0.76956,0.69824,0.67444,0.56494
0.66526,0.72887,0.6175,0.54939,0.53863
0.55206,0.65231,0.85784,0.53115,0.58942
0.79037,0.86648,0.66172,0.54603,0.72399
0.83171,0.68067,0.75947,0.72298,0.57921
0.73122,0.82846,0.71486,0.59214,0.55591
0.81745,0.61389,0.67138,0.64115,0.46076
0.62004,0.82324,0.56688,0.51112,0.741
0.64442,0.61789,0.69859,0.58197,0.64358
0.72538,0.65188,0.7369,0.50641,0.52587
0.54145,0.77937,0.67144,0.7522,0.68366
0.64158,0.79376,0.60308,0.63244,0.56801
0.5343,0.87936,0.68362,0.44982,0.56131
0.68485,0.78909,0.74463,0.64575,0.63126
0.82617,0.76672,0.56853,0.79769,0.78946
0.72308,0.68507,0.64132,0.65456,0.6631
0.66999,0.86568,0.78624,0.43142,0.46322
0.76486,0.75724,0.72551,0.46159,0.79348
0.69269,0.75943,0.64071,0.64802,0.6139
0.87764,0.81655,0.70282,0.4634,0.64019
0.67338,0.71834,0.68832,0.53373,0.65013
0.73228,0.6664,0.70018,0.72243,0.56288
0.64904,0.67081,0.5978,0.61024,0.76606
0.82276,0.70363,0.70308,0.72778,0.57682
0.71199,0.723,0.67723,0.63236,0.60435
0.73097,0.70593,0.71859,0.6541,0.50703
0.66555,0.76711,0.52405,0.62184,0.59447
0.81521,0.61952,0.7472,0.75471,0.6879
0.65886,0.73863,0.6884,0.67112,0.55821
0.62017,0.66838,0.5971,0.51979,0.76585
0.76814,0.76588,0.65013,0.66832,0.62402
0.61559,0.79554,0.66277,0.79888,0.59698
0.73328,0.6566,0.77289,0.67023,0.71897
0.68328,0.78129,0.64022,0.7337,0.67521
0.74782,0.47791,0.71086,0.6549,0.70807
0.78998,0.76511,0.59468,0.64302,0.65907
0.55034,0.7515,0.66051,0.6109,0.57685
0.64364,0.63427,0.79171,0.71704,0.6808
0.53621,0.84762,0.44718,0.55045,0.71443
0.60363,0.75435,0.71681,0.75257,0.51276
0.69262,0.7257,0.57141,0.76497,0.73471
0.65865,0.59108,0.77146,0.63692,0.70173
0.57717,0.66213,0.70442,0.65383,0.74137
0.66268,0.8462,0.62513,0.73477,0.52512
0.51462,0.83085,0.91643,0.669,0.64982
0.67723,0.7211,0.6578,0.63458,0.66281
0.65497,0.63099,0.79066,0.70702,0.53046
0.71615,0.7446,0.706,0.74895,0.63412
0.8149,0.72447,0.62221,0.59999,0.62071
0.70635,0.72236,0.51698,0.80106,0.48134
0.65738,0.67755,0.90165,0.73051,0.64407
0.52816,0.65858,0.52063,0.63044,0.5634
0.60854,0.78292,0.6481,0.66394,0.6312
0.76773,0.745,0.54199,0.67671,0.57958
0.81043,0.71004,0.71263,0.68903,0.6746
0.70327,0.59902,0.52093,0.64121,0.86264
0.56551,0.71394,0.54653,0.52587,0.67775
0.79779,0.65088,0.63584,0.53815,0.78613
0.81641,0.73247,0.63582,0.58674,0.60722
0.72717,0.4996,0.6713,0.80265,0.65026
0.78275,0.76766,0.68161,0.56458,0.62526
0.62329,0.67,0.80431,0.64194,0.74563
0.6581,0.69815,0.64343,0.7635,0.55366
0.64223,0.76148,0.90087,0.60873,0.59455
0.75113,0.57762,0.8138,0.75976,0.65879
0.69728,0.75086,0.588,0.46317,0.66867
0.5792,0.56536,0.71808,0.77688,0.56164
0.7151,0.57664,0.67709,0.56544,0.54696
0.58254,0.56681,0.57508,0.59955,0.59252
0.7301,0.62001,0.61587,0.3706,0.68843
0.6003,0.74138,0.58712,0.63546,0.54821
0.89263,0.5684,0.45403,0.54857,0.68554
0.68592,0.72841,0.6437,0.64072,0.69757
0.82093,0.60584,0.60354,0.65394,0.60441
0.66582,0.70417,0.62427,0.54311,0.68699
0.7031,0.63342,0.57998,0.49471,0.74596
0.70485,0.74487,0.78929,0.65156,0.61887
0.64511,0.62172,0.60909,0.72578,0.69403
0.62641,0.69749,0.79119,0.74287,0.72565
0.81644,0.6398,0.65171,0.6541,0.50248
0.6315,0.59907,0.70645,0.51967,0.71475
0.60461,0.86982,0.63107,0.60503,0.58114
0.73163,0.66688,0.6688,0.47063,0.59356
0.6097,0.6079,0.72342,0.71778,0.68241
0.62066,0.75279,0.7862,0.66481,0.5416
0.5663,0.61693,0.55326,0.70723,0.59777
0.62024,0.39926,0.74189,0.62874,0.72598
0.68803,0.71931,0.58286,0.60911,0.68522
0.82525,0.55096,0.75274,0.56917,0.63825
0.68265,0.54776,0.62625,0.47336,0.69161
0.69243,0.806,0.62362,0.57867,0.5987
0.6474,0.78995,0.65054,0.69658,0.67105
0.73605,0.64128,0.71065,0.60493,0.63679
0.57677,0.71293,0.85381,0.72011,0.60337
0.63962,0.6994,0.51524,0.63459,0.59697
0.69941,0.66365,0.72863,0.70249,0.6503
0.69066,0.68659,0.75091,0.73999,0.51155
0.71569,0.77065,0.57587,0.65453,0.69684
0.68484,0.71445,0.60312,0.70964,0.7543
0.75713,0.8224,0.60442,0.58963,0.64764
0.61229,0.71342,0.64864,0.67322,0.63163
0.86086,0.66043,0.72358,0.67835,0.55758
0.56839,0.63763,0.56482,0.53415,0.65532
0.61066,0.66741,0.75821,0.67628,0.65565
0.63584,0.73824,0.71901,0.63887,0.61448
0.66957,0.76957,0.8307,0.64514,0.62975
0.77717,0.62073,0.73831,0.68715,0.59871
0.78867,0.63273,0.71459,0.73353,0.59868
0.6414,0.43094,0.77957,0.66972,0.66263
0.56411,0.64748,0.54721,0.67778,0.50236
0.50875,0.65182,0.78512,0.56403,0.73277
0.6916,0.47998,0.73054,0.61385,0.80657
0.79876,0.83855,0.62167,0.6252,0.45118
0.66029,0.61098,0.74498,0.68457,0.70415
0.735,0.5905,0.78182,0.64697,0.65961
0.74819,0.74596,0.63356,0.73899,0.57048
0.70971,0.65993,0.66289,0.65105,0.60699
0.63277,0.7856,0.70644,0.64484,0.68169
0.7692,0.56329,0.63087,0.49643,0.69917
0.73425,0.62221,0.77053,0.48377,0.67546
0.76335,0.69575,0.78125,0.52152,0.77497
0.66658,0.60438,0.74087,0.62472,0.64358
0.82835,0.82061,0.61366,0.48987,0.60777
0.60333,0.45228,0.77331,0.69151,0.67348
0.75173,0.80956,0.66991,0.57575,0.63963
0.65898,0.65989,0.74587,0.71109,0.66338
0.59345,0.80415,0.58169,0.72052,0.59632
0.57101,0.70673,0.61806,0.5554,0.70298
0.66849,0.6952,0.81896,0.59538,0.48691
0.6199,0.79598,0.7614,0.52733,0.68045
0.61744,0.6399,0.66366,0.80191,0.68816
0.65216,0.58504,0.68068,0.62599,0.45882
0.70387,0.50997,0.66722,0.67063,0.64762
0.68212,0.67748,0.59369,0.80502,0.73731
0.69841,0.59317,0.62199,0.62061,0.64907
0.62446,0.61536,0.66424,0.55207,0.68614
0.8885,0.52631,0.79187,0.89416,0.49682
0.86496,0.62388,0.74473,0.62778,0.62563
0.62612,0.69269,0.83547,0.53786,0.6467
0.80193,0.66704,0.69143,0.59932,0.56204
0.78333,0.7793,0.75743,0.67599,0.56104
0.52678,0.63314,0.61129,0.76368,0.69061
0.72054,0.50443,0.7436,0.69984,0.51534
0.80294,0.68554,0.60019,0.67887,0.65389
0.68472,0.67115,0.63964,0.72168,0.70516
0.67452,0.83228,0.54044,0.55302,0.75346
0.65779,0.78883,0.63559,0.65629,0.65806
0.6566,0.82956,0.60174,0.66581,0.70251
0.69132,0.56283,0.79031,0.67364,0.65027
0.62458,0.73035,0.6577,0.65986,0.62199
0.58611,0.71318,0.6117,0.53481,0.46874
0.63829,0.79583,0.65002,0.56017,0.71783
0.66188,0.70644,0.47708,0.65844,0.59536
0.64949,0.68606,0.70342,0.58251,0.77565
0.75945,0.69193,0.64575,0.73215,0.59965
0.76908,0.56812,0.7931,0.54954,0.40086
0.63727,0.53994,0.62969,0.62365,0.68384
0.76057,0.43663,0.52513,0.68277,0.57256
0.64653,0.67601,0.89041,0.69618,0.75493
0.65947,0.57527,0.65877,0.47545,0.6604
0.86577,0.58033,0.70577,0.85929,0.58471
0.75864,0.71432,0.64576,0.59837,0.65169
0.8433,0.52321,0.57032,0.72993,0.64075
0.68401,0.7153,0.68543,0.54246,0.74252
0.70876,0.74623,0.65785,0.58583,0.63752
0.73167,0.70908,0.71643,0.64718,0.72582
0.76355,0.58697,0.75711,0.61993,0.72177
0.72808,0.79336,0.61219,0.53057,0.62218
0.67039,0.72069,0.68151,0.6133,0.58609
0.77884,0.68696,0.7306,0.65898,0.53013
0.59335,0.70218,0.67007,0.62475,0.553
0.62604,0.67423,0.6159,0.58615,0.72401
0.78481,0.57501,0.63658,0.47542,0.4743
0.68562,0.67645,0.72587,0.64804,0.68713
0.7252,0.67126,0.69479,0.61789,0.7118
0.53111,0.69667,0.70852,0.63794,0.64781
0.83488,0.64775,0.82347,0.60045,0.63102
0.78797,0.73917,0.67461,0.69512,0.72043
0.77131,0.69336,0.60681,0.5674,0.85652
0.7143,0.7307,0.70266,0.74109,0.76354
0.73175,0.664,0.6364,0.61307,0.59057
0.58794,0.75022,0.62693,0.60469,0.73896
0.64515,0.75561,0.61593,0.69671,0.65391
0.55456,0.7151,0.62435,0.8751,0.64223
0.66688,0.70565,0.80073,0.55578,0.64057
0.72788,0.59909,0.51145,0.56417,0.69029
0.71801,0.83951,0.62443,0.69934,0.68733
0.77771,0.67042,0.63446,0.57982,0.48634
0.70998,0.72203,0.64959,0.61331,0.58575
0.70347,0.73726,0.67165,0.50398,0.75935
0.71215,0.78485,0.81728,0.6367,0.47844
0.5256,0.74257,0.77314,0.71686,0.71579
0.65004,0.77701,0.50945,0.77507,0.59774
0.61154,0.72107,0.5685,0.71576,0.62914
0.7659,0.62359,0.69105,0.67956,0.51569
0.60013,0.70704,0.64571,0.60504,0.61276
0.61822,0.75595,0.58269,0.66476,0.64717
0.59862,0.6981,0.8001,0.64171,0.64421
0.68705,0.68817,0.69781,0.60844,0.62937
0.67529,0.56489,0.73585,0.75326,0.6834
0.58119,0.53121,0.57097,0.5629,0.66663
0.61975,0.71876,0.73341,0.57071,0.74641
0.68945,0.8147,0.69909,0.70349,0.62307
0.71218,0.5686,0.64807,0.68443,0.79336
0.62968,0.77496,0.72497,0.66667,0.60324
0.66266,0.63746,0.62266,0.69891,0.72212
0.70821,0.65943,0.57361,0.67191,0.622
0.66571,0.66386,0.82697,0.47882,0.69308
0.71983,0.62969,0.73375,0.59028,0.59191
0.72375,0.64584,0.53625,0.63335,0.76916
0.73656,0.61116,0.63088,0.66684,0.72978
0.66287,0.70893,0.8313,0.83071,0.60642
0.67871,0.75493,0.77389,0.68442,0.6486
0.78319,0.60707,0.6333,0.72148,0.55404
0.68595,0.63344,0.78898,0.63033,0.57611
0.63009,0.60245,0.60803,0.72818,0.53885
0.67007,0.5955,0.80449,0.66473,0.81641
0.63212,0.79158,0.51298,0.72823,0.60023
0.60221,0.70803,0.71189,0.6567,0.63054
0.7608,0.54561,0.70392,0.6439,0.8323
0.62255,0.70727,0.77294,0.5514,0.73028
0.62309,0.64528,0.51781,0.59812,0.55103
0.6735,0.74299,0.65818,0.63693,0.67454
0.59713,0.53476,0.69083,0.58621,0.67468
0.64677,0.63492,0.68048,0.75139,0.4971
0.71557,0.76478,0.69956,0.69226,0.69913
0.78128,0.66529,0.7584,0.54873,0.6114
0.61523,0.61538,0.6832,0.59583,0.65825
0.5753,0.72579,0.68982,0.6057,0.65117
0.60885,0.75566,0.6251,0.62839,0.55322
0.68266,0.68551,0.54005,0.61544,0.53307
0.77202,0.54649,0.74665,0.56096,0.7021
0.76105,0.81788,0.64472,0.51674,0.6126
0.64318,0.72589,0.75273,0.70372,0.7731
0.63982,0.63865,0.78106,0.62688,0.68742
0.55199,0.81733,0.55795,0.59559,0.57468
0.70459,0.8322,0.77653,0.76332,0.72624
0.65073,0.80311,0.62407,0.53318,0.76424
0.77468,0.53451,0.5984,0.57624,0.58982
0.56987,0.57536,0.54029,0.68973,0.51716
0.55598,0.54907,0.81767,0.7304,0.50901
0.54075,0.62158,0.61971,0.63625,0.56668
0.80036,0.82259,0.68544,0.72171,0.64867
0.59981,0.8436,0.6147,0.55931,0.55475
0.64455,0.55801,0.7084,0.65473,0.68415
0.64963,0.66217,0.71128,0.58208,0.59146
0.69258,0.6086,0.60079,0.67151,0.66631
0.57719,0.59532,0.65237,0.54932,0.62749
0.6875,0.61502,0.81512,0.64418,0.56429
0.85861,0.40971,0.50233,0.58776,0.63183
0.63147,0.55706,0.64077,0.48001,0.77555
0.71497,0.762,0.75272,0.75977,0.56642
0.8106,0.67202,0.84584,0.68485,0.71531
0.75461,0.70723,0.6741,0.58459,0.48098
0.71426,0.61671,0.64392,0.49434,0.73471
0.7921,0.71641,0.52927,0.50333,0.47334
0.65514,0.7201,0.66988,0.71259,0.63334
0.5853,0.64739,0.66898,0.53863,0.7071
0.65607,0.66231,0.5467,0.45575,0.43327
0.72713,0.70927,0.70553,0.59367,0.53286
0.65728,0.57079,0.75639,0.71149,0.55843
0.64978,0.70886,0.61486,0.59751,0.75852
0.6367,0.45466,0.72282,0.81776,0.74369
0.71693,0.86986,0.69918,0.62989,0.79748
0.71571,0.77162,0.70419,0.74377,0.58688
0.42009,0.57701,0.47325,0.70612,0.59789
0.66218,0.58872,0.66725,0.68398,0.53966
0.86443,0.63523,0.72345,0.63959,0.63512
0.62477,0.59194,0.76477,0.73195,0.61003
0.64388,0.66072,0.86519,0.75262,0.65903
0.66602,0.69967,0.68907,0.56831,0.38943
0.67267,0.67989,0.6079,0.70538,0.44579
0.6071,0.59487,0.64442,0.66745,0.62207
0.77701,0.84314,0.8714,0.68223,0.6686
